Date,market_ret,breadth,flag_rate,n_tickers,mkt_ret_mean,mkt_ret_std,mkt_ret_z,market_anomaly_flag
2018-04-05,0.012709932388648383,0.8888888888888888,0.0,9,,,,0
2018-04-06,-0.025563992446954224,0.0,0.0,9,,,,1
2018-04-09,0.0028991256496939182,0.8888888888888888,0.0,9,,,,0
2018-04-10,0.030487678599776896,1.0,0.0,9,,,,0
2018-04-11,-0.0047862936658514205,0.1111111111111111,0.0,9,,,,1
2018-04-12,0.014650329729431465,0.8888888888888888,0.0,9,,,,0
2018-04-13,-0.00233825607194777,0.3333333333333333,0.0,9,,,,0
2018-04-16,0.0011465796860183157,0.6666666666666666,0.0,9,,,,0
2018-04-17,0.028687363739843867,0.8888888888888888,0.1111111111111111,9,,,,0
2018-04-18,0.003046186791795481,0.5555555555555556,0.0,9,,,,0
2018-04-19,-0.005365653408772177,0.3333333333333333,0.0,9,,,,0
2018-04-20,-0.017849174720614522,0.0,0.1111111111111111,9,,,,1
2018-04-23,-0.010237319358640338,0.1111111111111111,0.0,9,,,,1
2018-04-24,-0.02062549416549284,0.2222222222222222,0.1111111111111111,9,,,,1
2018-04-25,-0.004278467875094425,0.4444444444444444,0.0,9,,,,0
2018-04-26,0.02456245898569678,1.0,0.0,9,,,,0
2018-04-27,0.005798815218156839,0.5555555555555556,0.1111111111111111,9,,,,0
2018-04-30,-0.006147335998009786,0.2222222222222222,0.0,9,,,,1
2018-05-01,0.016535274320119846,1.0,0.0,9,,,,0
2018-05-02,-0.0019965727218016977,0.3333333333333333,0.1111111111111111,9,,,,0
2018-05-03,-0.0024877823391103015,0.5555555555555556,0.0,9,,,,0
2018-05-04,0.02242074258072578,1.0,0.0,9,,,,0
2018-05-07,0.01625819701410642,1.0,0.0,9,,,,0
2018-05-08,0.0006320873304605698,0.4444444444444444,0.0,9,,,,0
2018-05-09,0.014392595654112487,1.0,0.0,9,,,,0
2018-05-10,0.007913126792425803,0.7777777777777778,0.1111111111111111,9,,,,0
2018-05-11,-0.006921314710611724,0.0,0.1111111111111111,9,,,,1
2018-05-14,-0.0012849946043939076,0.6666666666666666,0.0,9,,,,0
2018-05-15,-0.017014341281135423,0.0,0.0,9,,,,1
2018-05-16,0.00605356026728744,0.8888888888888888,0.0,9,,,,0
2018-05-17,-0.0035602981335376795,0.2222222222222222,0.0,9,,,,1
2018-05-18,-0.009303084859076778,0.1111111111111111,0.0,9,,,,1
2018-05-21,0.011748302939385051,0.8888888888888888,0.0,9,,,,0
2018-05-22,-0.005917803580528711,0.1111111111111111,0.0,9,,,,1
2018-05-23,0.015376856041963767,1.0,0.0,9,,,,0
2018-05-24,-0.0003902365516615072,0.3333333333333333,0.1111111111111111,9,,,,0
2018-05-25,0.003922013950764759,0.8888888888888888,0.0,9,,,,0
2018-05-29,-0.001825293182121151,0.2222222222222222,0.0,9,,,,1
2018-05-30,0.01044780947736268,0.8888888888888888,0.0,9,,,,0
2018-05-31,-0.002503201585109638,0.2222222222222222,0.1111111111111111,9,,,,1
2018-06-01,0.02186408155227361,1.0,0.0,9,,,,0
2018-06-04,0.0113597772307257,0.8888888888888888,0.0,9,,,,0
2018-06-05,0.0022793048553187483,0.6666666666666666,0.0,9,,,,0
2018-06-06,0.013272325160137051,0.7777777777777778,0.1111111111111111,9,,,,0
2018-06-07,-0.010781926920214648,0.0,0.0,9,,,,1
2018-06-08,-0.002310867672127909,0.3333333333333333,0.0,9,,,,0
