Date,Open,High,Low,Close,Adj Close,Volume,Ticker,Return
2018-01-02,156.55999755859375,158.52999877929688,156.1699981689453,158.49000549316406,155.5460205078125,32573300.0,QQQ,0.017526971212805664
2018-01-03,158.63999938964844,160.1699981689453,158.61000061035156,160.02999877929688,157.0574188232422,29383600.0,QQQ,0.00971672763144582
2018-01-04,160.5800018310547,160.7899932861328,160.0800018310547,160.30999755859375,157.3321990966797,24776100.0,QQQ,0.0017495529692026501
2018-01-05,161.07000732421875,162.02999877929688,160.77000427246094,161.9199981689453,158.9123077392578,26992300.0,QQQ,0.010043135808501358
2018-01-08,161.9199981689453,162.6300048828125,161.86000061035156,162.5500030517578,159.53060913085938,23159100.0,QQQ,0.0038908338844092505
2018-01-09,162.8699951171875,163.0399932861328,162.07000732421875,162.55999755859375,159.54043579101562,24782400.0,QQQ,6.15973336388631e-05
2018-01-10,161.83999633789062,162.2100067138672,161.1199951171875,162.17999267578125,159.16748046875,34004000.0,QQQ,-0.0023376852420922134
2018-01-11,162.4600067138672,163.3000030517578,162.2100067138672,163.2899932861328,160.2568359375,20473500.0,QQQ,0.006844083135209678
2018-01-12,163.14999389648438,164.66000366210938,162.94000244140625,164.49000549316406,161.43458557128906,37762700.0,QQQ,0.007349138193695426
2018-01-16,165.5800018310547,166.4199981689453,163.52999877929688,164.02000427246094,160.9733123779297,41231800.0,QQQ,-0.0028573381083552007
2018-01-17,164.8000030517578,166.0399932861328,164.0,165.7899932861328,162.71043395996094,33849900.0,QQQ,0.010791363837707957
2018-01-18,165.52999877929688,166.1999969482422,165.13999938964844,165.82000732421875,162.73989868164062,26432200.0,QQQ,0.0001810868606431093
2018-01-19,166.30999755859375,166.61000061035156,165.5399932861328,166.33999633789062,163.25021362304688,38937600.0,QQQ,0.0031357703030439055
2018-01-22,166.27999877929688,168.1199951171875,166.08999633789062,168.1199951171875,164.99713134765625,26081400.0,QQQ,0.010700860267436552
2018-01-23,168.63999938964844,169.66000366210938,168.55999755859375,169.50999450683594,166.36131286621094,37989700.0,QQQ,0.0082679105231247
2018-01-24,169.8699951171875,170.24000549316406,167.44000244140625,168.41000366210938,165.28175354003906,54287400.0,QQQ,-0.0064892450508614585
2018-01-25,169.57000732421875,169.6300048828125,167.80999755859375,168.35000610351562,165.22286987304688,28925000.0,QQQ,-0.0003562623564368206
2018-01-26,169.2899932861328,170.9499969482422,168.9600067138672,170.92999267578125,167.75491333007812,32038200.0,QQQ,0.015325018013407021
2018-01-29,170.57000732421875,170.91000366210938,169.74000549316406,170.10000610351562,166.94036865234375,37277800.0,QQQ,-0.004855563760041148
2018-01-30,168.5500030517578,169.4199981689453,167.82000732421875,168.6999969482422,165.56637573242188,44987700.0,QQQ,-0.008230441390621568
2018-01-31,169.64999389648438,169.99000549316406,168.33999633789062,169.39999389648438,166.2533721923828,42449200.0,QQQ,0.004149371857189221
2018-02-01,168.10000610351562,169.72999572753906,167.4199981689453,167.9600067138672,164.84010314941406,38037900.0,QQQ,-0.008500693996951636
2018-02-02,167.3000030517578,167.6999969482422,164.47000122070312,164.61000061035156,161.55233764648438,68478100.0,QQQ,-0.019945179844674032
2018-02-05,163.07000732421875,165.75,158.0,158.1199951171875,155.18289184570312,105372200.0,QQQ,-0.03942651584973744
2018-02-06,155.80999755859375,162.50999450683594,155.10000610351562,162.30999755859375,159.29510498046875,118537900.0,QQQ,0.02649913973026341
2018-02-07,161.7899932861328,163.5500030517578,160.1999969482422,160.2100067138672,157.23410034179688,91028300.0,QQQ,-0.012938279797891972
2018-02-08,160.6199951171875,160.8000030517578,153.4499969482422,153.4499969482422,150.59962463378906,94184800.0,QQQ,-0.04219489088935369
2018-02-09,155.6199951171875,157.24000549316406,150.1300048828125,156.10000610351562,153.20042419433594,113836600.0,QQQ,0.017269628439454676
2018-02-12,157.6999969482422,159.9499969482422,156.4600067138672,158.8699951171875,155.91897583007812,63050600.0,QQQ,0.017745065981629837
2018-02-13,157.9600067138672,160.00999450683594,157.72000122070312,159.69000244140625,156.72372436523438,31785600.0,QQQ,0.005161325174642517
2018-02-14,158.75,162.92999267578125,158.0,162.67999267578125,159.658203125,52107400.0,QQQ,0.01872389628086557
2018-02-15,164.13999938964844,165.6999969482422,162.44000244140625,165.6999969482422,162.62208557128906,51633900.0,QQQ,0.018563922105327535
2018-02-16,165.16000366210938,166.75999450683594,164.67999267578125,164.9600067138672,161.89584350585938,62256300.0,QQQ,-0.004465826784095239
2018-02-20,164.3800048828125,166.67999267578125,164.30999755859375,165.2899932861328,162.2197265625,36785600.0,QQQ,0.002000564372913738
2018-02-21,166.10000610351562,167.72000122070312,164.72000122070312,164.82000732421875,161.75845336914062,41161800.0,QQQ,-0.0028435086356877193
